codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
FDF-400020,Paillaco,-40.09638889,-72.92666667,319,Paillaco,Los Ríos,2011-01-01 0:00
FDF-340030,Palmilla,-34.54666667,-71.395,151,Palmilla,O'Higgins,2011-01-01 0:00
FDF-320015,Palquico,-32.25702783,-71.14163883,474,Petorca,Valparaíso,2011-01-01 0:00
FDF-320085,Panquehue,-32.75663889,-70.80883333,548,Panquehue,Valparaíso,2011-01-01 0:00
FDF-360010,Parral,-36.21333333,-71.7375,212,Parral,Maule,2011-01-01 0:00
FDF-360019,Parral Norte ,-36.23027778,-71.73222222,209,Retiro,Maule,2011-01-01 0:00
FDF-330049,Peldehue,-33.1471111,-70.6602222,781,Colina,Metropolitana,2017-05-03 0:00
FDF-350050,Pencahue,-35.45583333,-71.77222222,69,Pencahue,Maule,2011-01-01 0:00
FDF-320025,Petorca,-32.39666667,-71.02944444,252,Cabildo,Valparaíso,2011-01-01 0:00
FDF-340060,Peumo Norte Ex Las Cabras ,-34.32694444,-71.25888889,156,Peumo,O'Higgins,2011-01-01 0:00
FDF-360040,Pinto,-36.71333333,-71.87555556,309,Pinto,Ñuble,2011-01-01 0:00
FDF-330040,Pirque,-33.67388889,-70.58694444,671,Pirque,Metropolitana,2011-01-01 0:00
FDF-340025,Placilla Chacarilla,-34.641583,-71.135667,234,Placilla,O'Higgins,2011-01-01 0:00
FDF-380033,Pocoyan ,-38.9925,-73.09888889,34,Teodoro Schmidt,La Araucanía,2011-01-01 0:00
FDF-320130,Puchuncavi,-32.7310833,-71.4241389,48,Puchuncaví,Valparaíso,2017-05-03 0:00
FDF-390017,Pucon,-39.35583333,-71.78138889,436,Loncoche,La Araucanía,2011-01-01 0:00
FDF-320018,Pullancón,-32.30708283,-71.23075,87,La Ligua,Valparaíso,2011-01-01 0:00
FDF-300060,Punitaqui,-30.78,-71.25611111,216,Punitaqui,Coquimbo,2011-01-01 0:00
FDF-360037,Punta Cortes,-34.16975,-70.79127778,479,Rancagua,O'Higgins,2011-01-01 0:00
FDF-400046,Purranque ,-40.87944444,-73.0525,116,Purranque,Los Lagos,2011-01-01 0:00
FDF-320075,Putaendo,-32.59369444,-70.72611111,881,Putaendo,Valparaíso,2011-01-01 0:00
FDF-360070,Quillón,-36.745,-72.50472222,65,Quillón,Ñuble,2011-01-01 0:00
FDF-320100,Quillota,-32.89238889,-71.20672222,139,Quillota,Valparaíso,2011-01-01 0:00
FDF-3840,QUINTA TILCOCO,-34.362,-70.93527778,297,Quinta de Tilcoco,O'Higgins,2011-01-01 0:00
FDF-340019,Rapel ,-34.21666667,-71.3,125,Las Cabras,O'Higgins,2011-01-01 0:00
FDF-340055,Rarin,-34.765667,-71.956667,181,Vichuquén,Maule,2011-01-01 0:00
FDF-340170,Rauco,-34.925,-71.28305556,210,Rauco,Maule,2011-01-01 0:00
FDF-300040,Recoleta,-30.49091667,-71.16577778,404,Ovalle,Coquimbo,2011-01-01 0:00
FDF-370043,Renaico,-37.72611111,-72.60472222,106,Renaico,La Araucanía,2011-01-01 0:00
FDF-340029,Requinoa,-34.321667,-70.833694,528,Requinoa,O'Higgins,2011-01-01 0:00
FDF-320065,Rinconada,-32.83705556,-70.69252778,717,Rinconada,Valparaíso,2011-01-01 0:00
FDF-400040,Río Bueno,-40.32277778,-72.97944444,43,La Unión,Los Ríos,2011-01-01 0:00
FDF-400070,Río Negro,-40.76472222,-73.15194444,89,Río Negro,Los Lagos,2011-01-01 0:00
FDF-350005,Sagrada Familia,-34.99694444,-71.37416667,158,Sagrada Familia,Maule,2011-01-01 0:00
FDF-310030,Salamanca,-31.78738889,-70.95961111,515,Salamanca,Coquimbo,2011-01-01 0:00
FDF-330015,San Diego,-33.70302778,-71.37186111,100,Melipilla,Metropolitana,2011-01-01 0:00
FDF-5249,SAN ESTEBAN,-32.75044444,-70.55758333,949,San Esteban,Valparaíso,2011-01-01 0:00
FDF-320070,San Felipe,-32.755333,-70.706917,672,San Felipe,Valparaíso,2011-01-01 0:00
FDF-5088,SAN FERNANDO,-34.57783333,-70.97552778,354,San Fernando,O'Higgins,2011-01-01 0:00
FDF-360050,San Ignacio,-36.84361111,-72.12472222,178,San Ignacio,Ñuble,2011-01-01 0:00
FDF-350110,San Javier,-35.62972222,-71.60388889,157,San Javier,Maule,2011-01-01 0:00
FDF-300045,San Julián,-30.65527778,-71.31888889,265,Ovalle,Coquimbo,2011-01-01 0:00
FDF-320026,San Lorenzo,-32.43941683,-71.00296083,248,Cabildo,Valparaíso,2011-01-01 0:00
FDF-360100,San Nicolás,-36.51777778,-72.09444444,120,San Nicolás,Ñuble,2011-01-01 0:00
FDF-330110,San Pedro,-33.89138889,-71.39416667,169,San Pedro,Metropolitana,2011-01-01 0:00
FDF-350040,San Rafael,-35.30361111,-71.47583333,150,San Rafael,Maule,2011-01-01 0:00
FDF-340040,San Vicente TT,-34.45777778,-71.05055556,213,San Vicente,O'Higgins,2011-01-01 0:00
FDF-340090,Santa Cruz,-34.69083333,-71.4,178,Santa Cruz,O'Higgins,2011-01-01 0:00
FDF-320080,Santa María,-32.74916667,-70.66027778,710,Santa Maria,Valparaíso,2011-01-01 0:00
FDF-8002,STA. BRISILA,-34.29808056,-71.3238,128,Las Cabras,O'Higgins,2011-01-01 0:00
FDF-1100,TALAGANTE,-33.67325,-70.92113889,339,Talagante,Metropolitana,2011-01-01 0:00
FDF-340150,Teno,-34.87888889,-71.16527778,286,Teno,Maule,2011-01-01 0:00
FDF-370073,Tierras Nobles,-37.44194444,-72.61777778,90,Los Ángeles,Bío Bío,2011-01-01 0:00
FDF-330035,Til til,-33.12133333,-70.83477778,546,Tiltil,Metropolitana,2011-01-01 0:00
FDF-380020,Traiguén,-38.35722222,-72.5475,244,Traiguén,La Araucanía,2011-01-01 0:00
FDF-270010,Tranque Lautaro,-27.97558333,-70,1135,Tierra Amarilla,Atacama,2011-01-01 0:00
FDF-360025,Trehualemu Ex - San Ignacio Sur,-36.92083333,-71.89333333,380,El Carmen,Ñuble,2011-01-01 0:00
FDF-5095,Tres Esquinas,-35.14472222,-71.21611111,170,Molina,Maule,2011-01-01 0:00
FDF-340160,Tutuquen,-34.961611,-71.315861,179,Curicó,Maule,2011-01-01 0:00
FDF-280005,Vallenar,-28.52630556,-70.94308333,230,Freirina,Atacama,2011-01-01 0:00
FDF-340017,Vichuquen,-34.8549722,-72.0260556,47,Vichuquén,Maule,2016-11-02 0:00
FDF-300020,Vicuña,-30.03833333,-70.69666667,634,Vicuña,Coquimbo,2011-01-01 0:00
FDF-390047,Vida Nueva,-39.1963889,-72.2613611,252,Villarrica,La Araucanía,2017-05-29 0:00
FDF-350100,Villa Alegre,-35.69611111,-71.68222222,127,San Javier,Maule,2011-01-01 0:00
FDF-350070,Yerbas Buenas,-35.74388889,-71.57305556,206,Yerbas Buenas,Maule,2011-01-01 0:00
FDF-3762,YERBAS BUENAS 2,-35.69047222,-71.55394444,308,Yerbas Buenas,Maule,2011-01-01 0:00
INIA-4,La Platina,-33.56987082,-70.62797303,630,La Pintana,Metropolitana,2011-11-19 0:00
INIA-6,Los Tilos,-33.70726005,-70.70165517,530,Buin,Metropolitana,2013-06-11 0:00
INIA-7,Santa Sofía,-35.97764359,-72.35986381,151,Cauquenes,Maule,2009-08-12 0:00
INIA-8,Carillanca,-38.688787,-72.4189357,200,Vilcún,La Araucanía,2009-09-01 0:00
INIA-10,Punta Parra,-36.67239402,-72.96468405,190,Tomé,Biobío,2009-08-10 0:00
INIA-11,Sauzal,-35.71487926,-72.11130833,162,Cauquenes,Maule,2009-09-01 0:00
INIA-12,Coronel de Maule,-36.05909279,-72.47768878,172,Cauquenes,Maule,2009-09-01 0:00
INIA-13,Chile Chico,-46.5432423,-71.69929765,213,Chile Chico,Aisén,2009-09-01 0:00
INIA-14,Los Despachos,-36.06211462,-72.37143919,167,Cauquenes,Maule,2010-04-02 0:00
INIA-15,Chiguayante,-36.91349,-73.035458,23,Chiguayante,Biobío,2013-06-01 0:00
INIA-16,Tamelaike,-45.759114,-72.061843,470,Coyhaique,Aisén,2010-05-01 0:00
INIA-17,Santa Rosa,-36.535195,-71.916434,194,Chillán,Ñuble,2010-04-01 0:00
INIA-18,Tranapuente,-38.690833,-73.353333,64,Carahue,La Araucanía,2009-09-01 0:00
INIA-19,Remehue,-40.522204,-73.063655,73,Osorno,Los Lagos,2009-10-01 0:00
INIA-20,Huyar Alto,-42.403919,-73.568192,155,Curaco de Vélez,Los Lagos,2009-10-01 0:00
INIA-21,Human,-37.43355687,-72.24397526,195,Los Ángeles,Biobío,2009-12-07 0:00
INIA-22,Chanco,-35.706583,-72.511194,60,Chanco,Maule,2010-05-01 1:15
INIA-23,Portezuelo,-36.53203766,-72.36826801,109,Portezuelo,Ñuble,2010-04-01 0:00
INIA-24,Nueva Aldea,-36.6489,-72.51349,82,Ránquil,Ñuble,2010-04-01 0:00
INIA-25,Butalcura,-42.261762,-73.650812,148,Dalcahue,Los Lagos,2009-10-01 0:00
INIA-26,Los Canelos,-41.481326,-73.474378,105,Los Muermos,Los Lagos,2009-10-01 0:00
INIA-28,Quiripio,-38.639722,-73.244167,322,Carahue,La Araucanía,2009-10-03 0:00
INIA-29,Dominguez,-38.903321,-73.225275,93,Saavedra,La Araucanía,2009-10-02 0:00
INIA-31,Llollinco,-38.976944,-72.997778,24,Teodoro Schmidt,La Araucanía,2009-10-05 0:00
INIA-32,Cochrane,-47.24173333,-72.58220278,246,Cochrane,Aisén,2009-11-04 0:00
INIA-33,La Providencia,-38.289444,-72.611389,254,Traiguén,La Araucanía,2009-11-10 0:00
INIA-34,Lluta Bajo,-18.409467,-70.233833,222,Arica,Arica y Parinacota,2010-01-01 0:00
INIA-35,Puerto Natales,-51.698367,-72.483082,80,Natales,Magallanes,2010-04-15 0:00
INIA-36,GTT Peleco,-37.7538486,-73.445092,125,Cañete,Biobío,2009-11-05 0:00
INIA-37,Kampenaike,-52.61204835,-70.9432231,6,Laguna Blanca,Magallanes,2012-08-11 0:00
INIA-38,Lluta Medio,-18.452168,-70.067102,532,Arica,Arica y Parinacota,2009-11-14 0:00
INIA-39,Azapa Medio,-18.547728,-70.124646,393,Arica,Arica y Parinacota,2009-11-14 0:00
INIA-40,Cuarta Faja,-39.115556,-72.605278,115,Gorbea,La Araucanía,2009-12-01 0:00
INIA-41,Santa Adela,-38.756111,-72.891389,50,Nueva Imperial,La Araucanía,2010-11-01 0:00
INIA-43,Socoroma,-18.263889,-69.607675,3077,Putre,Arica y Parinacota,2009-12-01 0:00
INIA-44,Vista Hermosa,-45.936818,-71.835342,740,Coyhaique,Aisén,2010-03-10 0:00
INIA-45,La Pampa,-40.860639,-73.156917,96,Purranque,Los Lagos,2010-01-12 0:00
INIA-46,Cauquenes,-35.95597397,-72.2899376,162,Cauquenes,Maule,2010-01-07 0:00
INIA-47,Ninhue,-36.398105,-72.395203,91,Chillán,Ñuble,2010-04-01 0:00
INIA-48,San Luis,-38.409987,-71.915218,549,Curacautín,La Araucanía,2010-04-01 0:00
INIA-49,Yungay,-37.141385,-72.011761,265,Yungay,Ñuble,2010-04-01 0:00
INIA-50,Quilanto,-41.026123,-73.007003,161,Frutillar,Los Lagos,2011-08-01 0:00
INIA-51,La Cruz,-32.822,-71.2304,181,La Cruz,Valparaíso,2010-06-01 0:53
INIA-52,El Tambo,-34.47099232,-70.98695144,250,San Vicente,O'Higgins,2010-06-01 0:00
INIA-55,Hidango,-34.112466,-71.797339,296,Litueche,O'Higgins,2010-06-01 0:15
INIA-56,Caspana,-22.334515,-68.213597,3245,Calama,Antofagasta,2012-12-01 0:00
INIA-57,Socaire,-23.590586,-67.890063,3357,San Pedro de Atacama,Antofagasta,2010-11-18 0:00
INIA-58,Toconao,-23.195058,-68.007675,2478,San Pedro de Atacama,Antofagasta,2010-09-04 0:00
INIA-59,San Pedro de Atacama,-22.9322,-68.213458,2416,San Pedro de Atacama,Antofagasta,2010-11-18 0:00
INIA-61,Calama Rural,-22.471688,-68.94979,2244,Calama,Antofagasta,2010-09-11 0:00
INIA-62,Ollagüe,-21.223937,-68.255607,3706,Ollagüe,Antofagasta,2010-12-17 0:00
INIA-63,Cerro Blanco,-18.57507,-70.069739,525,Arica,Arica y Parinacota,2014-11-01 0:00
INIA-64,Algarrobo Bajo,-30.6331,-71.45141,80,Ovalle,Coquimbo,2011-02-08 0:00
INIA-65,CE Huasco,-28.58113,-70.79829,470,Vallenar,Atacama,2011-02-01 0:00
INIA-66,El Palqui,-30.774544,-70.926831,504,Monte Patria,Coquimbo,2011-02-01 0:00
INIA-67,Tara,-42.703731,-73.788517,145,Chonchi,Los Lagos,2011-02-01 0:00
INIA-68,Polizones,-41.115147,-73.376628,137,Fresia,Los Lagos,2011-04-01 0:00
INIA-69,Colegual,-41.221843,-73.259856,177,Llanquihue,Los Lagos,2011-04-01 0:00
INIA-70,Octay,-40.957156,-72.885495,178,Puerto Octay,Los Lagos,2011-04-01 0:00
INIA-71,El Cardal,-40.386737,-72.919058,80,Río Bueno,Los Ríos,2011-05-01 0:00
INIA-72,Lago Verde,-40.165081,-72.633843,248,Paillaco,Los Ríos,2011-06-01 0:00
INIA-73,Navidad,-36.916365,-71.834824,314,El Carmen,Ñuble,2011-06-01 0:00
INIA-74,Campo Lindo,-30.69899,-71.3217,290,Ovalle,Coquimbo,2011-06-01 0:00
INIA-75,Lluta Alto,-18.393556,-69.963339,895,Arica,Arica y Parinacota,2011-09-02 0:00
INIA-76,Codpa,-18.832508,-69.745559,1870,Camarones,Arica y Parinacota,2013-04-03 0:00
INIA-77,Camarones,-19.011167,-69.857194,730,Camarones,Arica y Parinacota,2013-11-01 0:00
INIA-78,Visviri,-17.594605,-69.477417,4122,General Lagos,Arica y Parinacota,2012-04-01 0:00
INIA-79,Salar de Surire,-18.794647,-69.084443,4269,Putre,Arica y Parinacota,2012-05-01 0:00
INIA-80,Lago Chungará,-18.280792,-69.137992,4570,Putre,Arica y Parinacota,2010-05-01 0:00
INIA-81,Azapa Alto,-18.577454,-69.9472636,838,Arica,Arica y Parinacota,2017-08-18 12:00
INIA-82,Punta Arenas Rural,-53.068313,-70.873761,50,Punta Arenas,Magallanes,2011-12-02 0:00
INIA-83,Tierra del Fuego,-52.805431,-69.273691,58,Primavera,Magallanes,2011-12-03 0:00
INIA-84,Lebu,-37.682541,-73.522167,194,Lebu,Biobío,2012-01-11 0:00
INIA-97,Amolana,-27.955861,-70.005999,1090,Tierra Amarilla,Atacama,2012-04-01 0:00
INIA-98,El Claro,-45.5812,-72.092267,319,Coyhaique,Aisén,2012-06-01 0:00
INIA-99,Las Lomas,-39.700929,-73.014793,22,Máfil,Los Ríos,2013-03-01 0:00
INIA-100,San Antonio de Naltahua,-33.732181,-71.039443,249,Isla de Maipo,Metropolitana,2013-04-01 0:00
INIA-101,San Pedro de Melipilla,-33.897935,-71.452881,145,San Pedro,Metropolitana,2013-04-01 0:00
INIA-102,Santa Carla,-39.679571,-72.611389,264,Los Lagos,Los Ríos,2013-04-01 0:00
INIA-103,Isla Riesco,-53.030495,-71.933637,68,Río Verde,Magallanes,2012-11-16 0:00
INIA-104,Desagüe Rupanco,-40.752634,-72.663894,272,Puyehue,Los Lagos,2013-05-01 0:00
INIA-105,Ensenada,-41.233469,-72.516119,76,Puerto Varas,Los Lagos,2013-06-01 0:00
INIA-132,Palermo,-40.259225,-73.106543,78,La Unión,Los Ríos,2013-12-01 0:00
INIA-133,Quilacahuin,-40.347946,-73.307493,17,San Pablo,Los Lagos,2014-04-01 0:00
INIA-134,Putre,-18.196949,-69.55374,3577,Putre,Arica y Parinacota,2014-06-04 0:00
INIA-135,San Clemente,-35.530653,-71.479505,221,San Clemente,Maule,2014-11-19 0:00
INIA-136,Santa Amada,-35.760761,-71.574215,150,Linares,Maule,2014-11-09 0:00
INIA-137,Chaca,-18.820388,-70.140868,328,Arica,Arica y Parinacota,2014-11-01 0:00
INIA-138,Perales,-38.663889,-72.808889,55,Cholchol,La Araucanía,2015-04-01 0:00
INIA-139,CE Arroz,-36.409298,-72.006731,162,San Carlos,Ñuble,2015-02-07 0:00
INIA-140,Huiscapi,-39.263333,-72.398889,266,Villarrica,La Araucanía,2015-02-14 0:00
INIA-141,El Membrillo,-38.834167,-71.6825,527,Melipeuco,La Araucanía,2015-02-15 0:00
INIA-142,Puala,-39.381944,-71.5725,393,Curarrehue,La Araucanía,2015-03-01 0:00
INIA-143,Santa Inés,-38.504722,-72.343611,263,Lautaro,La Araucanía,2015-03-01 0:00
INIA-144,Manzanares,-37.7725,-72.546111,88,Renaico,La Araucanía,2015-06-04 0:00
INIA-145,Surco y Semilla,-38.0325,-72.285278,379,Collipulli,La Araucanía,2015-03-01 0:00
INIA-146,Las Palmas,-38.227778,-72.273333,388,Victoria,La Araucanía,2015-03-01 0:00
INIA-147,Caballería,-38.455941,-72.740668,167,Galvarino,La Araucanía,2015-03-05 0:00
INIA-148,Marimenuco,-38.731667,-71.140833,1084,Lonquimay,La Araucanía,2015-03-01 0:00
INIA-149,Ticnamar,-18.58007,-69.495965,3220,Putre,Arica y Parinacota,2017-01-01 0:00
INIA-150,Caleta Vitor,-18.781479,-70.283902,88,Arica,Arica y Parinacota,2015-03-01 0:00
INIA-151,Austral,-39.787428,-73.234546,15,Valdivia,Los Ríos,2015-05-01 0:00
INIA-152,Chapiquiña,-18.389472,-69.539417,3300,Putre,Arica y Parinacota,2018-03-01 0:00
INIA-154,Monte Flor-Tucapel,-36.244802,-71.934291,548,Parral,Maule,2015-12-01 0:00
INIA-155,Rucatayo,-40.598896,-72.586541,278,Río Bueno,Los Ríos,2015-12-08 0:00
INIA-156,Belén,-18.468208,-69.523279,3208,Putre,Arica y Parinacota,2015-03-01 0:00
INIA-157,La Isla,-38.03,-72.982,76,Purén,La Araucanía,2016-01-07 0:00
INIA-159,Cerro Castillo,-51.176975,-72.435811,115,Torres del Paine,Magallanes,2016-01-01 0:00
INIA-161,Ponotro,-38.27529,-73.498489,143,Tirúa,Biobío,2016-01-01 0:00
INIA-162,Rinconada - U de Chile,-33.497093,-70.845436,462,Maipú,Metropolitana,2016-04-01 0:00
INIA-163,El Arenal,-34.35575,-70.991278,266,Quinta de Tilcoco,O'Higgins,2016-10-01 0:00
INIA-164,El Quincho,-38.913175,-72.183514,293,Cunco,La Araucanía,2016-09-01 0:00
INIA-165,El Maqui,-32.754967,-71.343432,179,Puchuncaví,Valparaíso,2017-01-01 0:00
INIA-166,La Junta,-43.916933,-72.387343,40,Cisnes,Aisén,2017-02-01 0:00
INIA-167,Cuncumén,-33.736215,-71.421579,215,San Antonio,Valparaíso,2017-07-07 0:00
INIA-168,Faja Maisan,-39.071148,-72.92198,56,Pitrufquén,La Araucanía,2017-08-01 0:00
INIA-201,Huacamapu,-40.659175,-73.491723,144,San Juan de la Costa,Los Lagos,2017-07-20 0:00
INIA-202,Pica,-20.501476,-69.342572,1325,Pica,Tarapacá,2017-08-15 0:00
INIA-203,Los Arrayanes,-39.1041699,-73.1618209,18,Toltén,La Araucanía,2017-07-20 0:00
INIA-204,Cuya,-19.161922,-70.180968,97,Camarones,Arica y Parinacota,2017-07-20 0:00
INIA-205,San Enrique,-39.261711,-71.868097,279,Pucón,La Araucanía,2017-07-20 0:00
INIA-206,Gaby Ranquilco,-38.116919,-72.883497,76,Lumaco,La Araucanía,2017-08-01 0:00
INIA-207,Carelmapu,-41.709733,-73.6722625,29,Maullín,Los Lagos,2017-08-01 0:00
INIA-208,La Paz,-39.428135,-72.718521,86,Loncoche,La Araucanía,2017-08-01 0:00
INIA-209,San Rafael,-38.070667,-72.724176,173,Los Sauces,La Araucanía,2017-08-01 0:00
INIA-210,El Asiento,-34.029282,-70.995098,351,Alhué,Metropolitana,2017-08-01 0:00
INIA-211,Puralihue,-36.431036,-72.647783,36,Treguaco,Ñuble,2017-08-05 0:00
INIA-212,Lomas,-35.8354491,-72.587489,172,Pelluhue,Maule,2017-08-06 0:00
INIA-213,Colliguay,-33.1686089,-71.1557171,580,Quilpué,Valparaíso,2017-08-06 0:00
INIA-214,Deuca,-35.127819,-71.955951,48,Curepto,Maule,2017-08-06 0:00
INIA-215,San Jorge Los Niches,-35.0918,-71.120579,310,Curicó,Maule,2017-08-06 0:00
INIA-216,Camar,-23.407102,-67.963735,2694,San Pedro de Atacama,Antofagasta,2017-08-09 0:00
INIA-217,Puente Negro,-34.386351,-71.98571,10,Pichilemu,O'Higgins,2017-08-09 0:00
INIA-218,Altos la Portada,-23.5040977,-70.4046663,105,Antofagasta,Antofagasta,2017-08-11 0:00
INIA-219,Estancia 5 de Enero,-52.432478,-70.360583,113,San Gregorio,Magallanes,2017-09-02 0:00
INIA-220,Huentelauquén,-31.5885,-71.509833,22,Canela,Coquimbo,2017-09-01 0:00
INIA-221,Quilimarí,-32.119098,-71.460005,27,Los Vilos,Coquimbo,2017-09-01 0:00
INIA-222,Estancia Zenia,-53.319496,-69.698147,151,Porvenir,Magallanes,2017-09-01 0:00
INIA-223,Falda Verde,-26.299806,-70.624111,127,Chañaral,Atacama,2017-09-01 0:00
INIA-224,La Copa,-27.345439,-70.622009,188,Copiapó,Atacama,2017-09-01 0:00
INIA-225,La Cachina,-25.433987,-70.453243,213,Taltal,Antofagasta,2017-10-05 0:00
INIA-226,Bajada Ibañez,-46.180619,-72.043261,523,Río Ibáñez,Aisén,2017-08-19 7:00
INIA-227,Miraflores,-35.818051,-71.775019,124,Longaví,Maule,2017-11-06 15:30
INIA-228,Liceo Jean Buchanan,-34.3972892,-71.1646719,185,Peumo,O'Higgins,2017-11-15 14:45
INIA-229,Chaguaral,-30.857084,-70.730689,1194,Monte Patria,Coquimbo,2016-05-11 0:00
INIA-230,Pid-Pid,-42.411747,-73.783913,81,Castro,Los Lagos,2018-02-01 0:00
INIA-231,Quilquico,-42.491512,-73.708817,109,Castro,Los Lagos,2018-02-01 0:00
INIA-232,Isla Chelin,-42.589153,-73.532906,33,Castro,Los Lagos,2018-02-02 0:00
INIA-233,Radal,-38.98547,-72.381617,168,Freire,La Araucanía,2018-02-20 0:00
INIA-234,Arroyo el Gato,-45.162902,-71.943627,504,Coyhaique,Aisén,2017-09-01 0:00
INIA-235,San Sebastián,-38.435064,-72.399024,299,Perquenco,La Araucanía,2018-03-01 0:00
INIA-236,Taplon,-38.83295,-72.506385,130,Padre las Casas,La Araucanía,2018-03-01 0:00
INIA-237,El Vergel,-37.8278098,-72.6596649,81,Angol,La Araucanía,2018-03-01 0:00
INIA-238,Pailahueque,-38.145552,-72.298333,379,Ercilla,La Araucanía,2018-03-01 0:00
INIA-239,Collimallin,-38.606698,-72.701057,60,Temuco,La Araucanía,2018-03-01 0:00
INIA-301,Ñirehuao,-45.249744,-71.69425,510,Coyhaique,Aisén,2018-03-01 0:00
INIA-302,Pampa Concordia,-18.362922,-70.302033,65,Arica,Arica y Parinacota,2018-05-17 19:30
INIA-303,Rayentué,-34.321704,-70.833901,376,Rengo,O'Higgins,2018-06-01 0:00
INIA-304,Ajial de Quiles,-30.920303,-71.3841,464,Punitaqui,Coquimbo,2019-01-18 0:00
INIA-305,La Polvareda,-30.882719,-71.239736,265,Punitaqui,Coquimbo,2019-01-18 0:00
INIA-306,Puerto Ibañez,-46.278309,-71.941433,225,Río Ibáñez,Aisén,2019-06-04 0:00
INIA-307,Licanchen,-33.9297485,-71.8010025,24,Navidad,O'Higgins,2019-09-11 14:15
INIA-308,Las Puentes,-37.305126,-73.436712,120,Arauco,Biobío,2019-09-29 0:00
INIA-309,Tenaún,-42.312675,-73.399902,130,Dalcahue,Los Lagos,2019-10-01 0:00
INIA-310,Santa Lucía,-36.69746,-72.704216,268,Florida,Biobío,2019-11-19 0:00
INIA-311,El Oasis,-33.286268,-70.83606,485,Lampa,Metropolitana,2020-11-04 0:00
INIA-312,La Colonia,-37.288681,-72.59151,120,Laja,Biobío,2021-01-15 0:00
INIA-313,Chacabuco,-33.2488,-70.72322,700,Colina,Metropolitana,2021-03-02 14:00
INIA-314,Chorrillos,-33.34368,-70.8185,485,Lampa,Metropolitana,2021-04-01 0:00
INIA-315,El Villorrio,-33.562443,-70.875305,406,Padre Hurtado,Metropolitana,2021-05-28 15:00
INIA-316,Santa Amelia,-33.668744,-70.912195,360,Talagante,Metropolitana,2021-06-23 12:00
INIA-317,Peor es Nada,-34.783248,-71.043411,283,Chimbarongo,O'Higgins,2021-06-24 12:00
INIA-318,La Aurora,-33.429661,-71.029152,205,Curacaví,Metropolitana,2021-08-11 15:00
INIA-319,Los Acacios,-30.700483,-71.286422,254,Ovalle,Coquimbo,2021-11-09 13:00
INIA-320,El Parrón,-33.508555,-71.084029,166,María Pinto,Metropolitana,2022-01-26 0:00
INIA-321,Valdivia de Paine,-33.7986592,-70.8413394,360,Buin,Metropolitana,2022-03-24 15:30
INIA-322,Contulmo Urbano,-38.018318,-73.230247,46,Contulmo,Biobío,2022-05-12 16:45
INIA-323,Las Naranjas,-30.8614346,-71.4093676,560,Ovalle,Coquimbo,2022-06-01 14:00
INIA-324,Putenio,-41.670875,-73.133367,70,Calbuco,Los Lagos,2023-10-19 16:00
VDCH-21,Anakena,-34.30472222,-70.77166667,,Requinoa,O'Higgins,2010-01-01 0:00
VDCH-36,Aresti,-35.15138889,-71.29805556,259,Molina,Maule,2011-01-01 0:00
VDCH-6,Casa Marín,-33.52444444,-71.54555556,32,Cartagena,Valparaíso,2011-08-29 0:00
VDCH-9,Casa Rivas (N.C.),-33.50638889,-71.06083333,236,Curacaví,Metropolitana,2011-01-01 0:00
VDCH-24,Casa Silva-Los Lingues,-34.50222222,-70.89472222,317,San Fernando,O'Higgins,2011-01-01 0:00
VDCH-41,Casas Patronales,-35.49166667,-71.44555556,,San Clemente,Maule,2010-01-01 0:00
VDCH-16,Chocalán ,-33.76055556,-71.22555556,,Melipilla,Metropolitana,2010-01-01 0:00
VDCH-50,Concha y Toro - Pencahue,-35.44522,-71.83436,63,Pencahue,Maule,2018-01-01 0:00
VDCH-30,Conosur,-34.71555556,-71.03861111,,Chimbarongo,O'Higgins,2010-01-01 0:00
VDCH-14,De Martino,-33.58194444,-70.88055556,,Isla de Maipo,Metropolitana,2010-01-01 0:00
VDCH-37,El Aromo,-35.53555556,-71.59833333,119,Maule,Maule,2011-01-01 0:00
VDCH-7,Emiliana,-33.36138889,-71.30916667,,Casablanca,Valparaíso,2010-01-01 0:00
VDCH-102,Emiliana - Casablanca,-33.3653188,-71.3067019,,Casablanca,Valparaíso,2010-01-01 0:00
VDCH-101,Emiliana - Limarí,-30.7122546,-71.3567588,,Ovalle,Coquimbo,2010-01-01 0:00
VDCH-3,Errazuriz,-32.89861111,-71.35166667,,Quillota,Valparaíso,2010-01-01 0:00
VDCH-1,Falernia,-30.0275,-70.80166667,,Vicuña,Coquimbo,2010-01-01 0:00
VDCH-5,Garcés Silva,-33.68138889,-71.49583333,,San Antonio,Valparaíso,2010-01-01 0:00
VDCH-44,Guilisasti,-37.64833333,-72.21611111,,Mulchén,Bío Bío,2010-01-01 0:00
VDCH-32,Hacienda Araucano-Lolol,-34.72722222,-71.58888889,132,Peralillo,O'Higgins,2011-12-09 0:00
VDCH-39,J. Bouchon,-35.56916667,-71.99527778,175,San Javier,Maule,2011-01-01 0:00
VDCH-23,La Rosa – Oeste,-34.325,-71.23944444,159,Peumo,O'Higgins,2011-01-01 0:00
VDCH-49,Laberinto,-35.6993,-71.2687,,Colbún,Maule,2010-01-01 0:00
VDCH-26,Lapostolle-Apalta,-34.59361111,-71.30222222,229,Santa Cruz,O'Higgins,2011-01-01 0:00
VDCH-25,Luis Felipe Edwards,-34.69305556,-71.15694444,210,Nancagua,O'Higgins,2011-01-01 0:00
