codigo,nombre,latitud,longitud,elevacion,comuna,region,primera_lectura
MMA-360047,Copihue,-36.07556,-71.75806,162,Retiro,Maule,2018-12-11 3:00
DMC-370036,Liceo Agrícola El Huertón,-37.45694,-72.275,173,Los Ángeles,Biobío,2018-12-11 3:00
DMC-380013,Aeródromo Maquehue,-38.76778,-72.63194,86,Padre las Casas,La Araucanía,2018-12-11 3:00
DMC-380018,Lonquimay,-38.455,-71.36194,912,Lonquimay,La Araucanía,2018-12-11 3:00
DMC-380029,Aeropuerto Araucanía,-38.93444,-72.65333,96,Freire,La Araucanía,2018-12-11 2:00
MMA-380032,Rucamanque - UFRO,-38.66083,-72.60556,344,Temuco,La Araucanía,2018-12-11 2:00
DMC-330161,Lo Zarate,-33.53056,-71.50611,103,Cartagena,Valparaíso,2018-12-11 2:00
DMC-310023,Liceo Padre José Herde,-31.39,-71.41278,343,Canela,Coquimbo,2019-03-12 2:00
DMC-310024,Liceo Samuel Román Rojas,-31.18806,-70.99889,936,Combarbalá,Coquimbo,2019-03-12 2:00
DMC-310040,Vivero CONAF,-31.6325,-71.15194,333,Illapel,Coquimbo,2019-03-12 2:00
MMA-320041,Aeródromo Torquemada,-32.94944,-71.47611,141,Concón,Valparaíso,2019-03-12 2:00
DMC-520030,Cerro Sombrero MA,-52.77639,-69.29472,64,Primavera,Magallanes,2019-03-12 2:00
DMC-230022,Mejillones,-23.10917,-70.44333,31,Mejillones,Antofagasta,2019-04-03 0:00
DMC-330162,Regimiento de Colina,-33.16222,-70.64306,726,Colina,Metropolitana,2019-04-03 0:00
DMC-370067,Húsares,-37.74583,-72.69167,69,Angol,La Araucanía,2019-04-03 0:00
DMC-380063,Regimiento Victoria,-38.22889,-72.34333,336,Victoria,La Araucanía,2019-04-03 0:00
DMC-320019,Escuela Agrícola,-32.75528,-70.70694,662,San Felipe,Valparaíso,2019-08-01 0:00
DMC-430001,Aeródromo de Quellón,-43.13417,-73.63194,13,Quellón,Los Lagos,2019-08-01 0:00
CEAZA-TIL,Tilama,-32.08163,-71.16277,499,Los Vilos,Coquimbo,2019-01-01 0:00
DGA-RPN_DGA,Rapa Nui,-27.11944,-109.35472,0,Isla de Pascua,Valparaíso,2019-03-01 0:00
MMA-450022,Mirador Marchant,-45.52528,-72.09806,438,Coyhaique,Aisén,2019-10-28 22:00
DMC-430009,Aeródromo Melinka,-43.89667,-73.74028,11,Guaitecas,Aisén,2019-11-06 22:00
DMC-430002,Aeródromo de Futaleufú,-43.18889,-71.85222,347,Futaleufú,Los Lagos,2020-04-28 11:00
